,word,label
0,Yours,c
1,faithfully,c
2,",",c
3,Unfortunately,c
4,",",c
5,Pat,c
6,was,c
7,n't,c
8,very,c
9,good,c
10,at,c
11,keeping,c
12,secrets,c
13,.,c
14,Last,c
15,Wednesday,c
16,Carole,c
17,received,c
18,a,c
19,letter,c
20,.,c
21,The,c
22,stamp,c
23,was,c
24,from,c
25,a,c
26,foreign,c
27,country,c
28,and,c
29,the,c
30,address,c
31,was,c
32,written,c
33,in,c
34,Capital,c
35,Letters,c
36,.,c
37,She,c
38,did,c
39,n't,c
40,recognize,c
41,the,c
42,writing,c
43,.,c
44,She,c
45,began,c
46,to,c
47,read,c
48,"""\""""""",c
49,Dear,c
50,Carolin,c
51,..,c
52,There,c
53,was,c
54,only,c
55,a,c
56,person,c
57,who,c
58,used,c
59,to,c
60,call,c
61,her,c
62,by,c
63,this,c
64,name,c
65,.,c
66,It,c
67,brought,c
68,a,c
69,lot,c
70,of,c
71,memories,c
72,back,c
73,to,c
74,her,c
75,.,c
76,It,c
77,was,c
78,long,c
79,time,c
80,ago,c
81,",",c
82,when,c
83,she,c
84,was,c
85,fourteen,c
86,and,c
87,Paul,c
88,sixteen,c
89,.,c
90,He,c
91,was,c
92,her,c
93,first,c
94,love,c
95,and,c
96,also,c
97,the,c
98,first,c
99,who,c
100,kissed,c
101,her,c
102,.,c
103,Paul,c
104,had,c
105,to,c
106,move,c
107,to,c
108,Mexico,c
109,because,c
110,of,c
111,his,c
112,father,c
113,'s,c
114,work,c
115,.,c
116,When,c
117,they,c
118,were,c
119,saying,c
120,goodbye,c
121,Paul,c
122,"""\""""""",c
123,I,c
124,will,c
125,be,c
126,the,c
127,last,c
128,person,c
129,who,c
130,will,c
131,kiss,c
132,you,c
133,"""\""""""",c
134,.,c
135,"""\""""""",c
136,It,c
137,sounds,c
138,nice,c
139,but,c
140,I,c
141,do,c
142,n't,c
143,believe,c
144,it,c
145,"""\""""""",c
146,she,c
147,replied,c
148,.,c
149,"""\""""""",c
150,You,c
151,only,c
152,have,c
153,to,c
154,wait,c
155,"""\""""""",c
156,he,c
157,said,c
158,.,c
159,But,c
160,she,c
161,did,c
162,n't,c
163,wait,c
164,.,c
165,She,c
166,got,c
167,married,c
168,and,c
169,had,c
170,two,c
171,children,c
172,.,c
173,At,c
174,this,c
175,moment,c
176,Carole,c
177,was,c
178,living,c
179,with,c
180,her,c
181,husband,c
182,but,c
183,they,c
184,did,c
185,n't,c
186,love,c
187,each,c
188,other,c
189,any,c
190,more,c
191,.,c
192,Their,c
193,love,c
194,had,c
195,finished,c
196,.,c
197,In,c
198,his,c
199,letter,c
200,Paul,c
201,said,c
202,that,c
203,he,c
204,had,c
205,become,c
206,a,c
207,rich,c
208,man,c
209,and,c
210,he,c
211,would,c
212,come,c
213,back,c
214,to,c
215,meet,c
216,her,c
217,again,c
218,.,c
219,Her,c
220,friend,c
221,Pat,c
222,had,c
223,explained,c
224,the,c
225,whole,c
226,story,c
227,at,c
228,her,c
229,husband,c
230,.,c
231,What,c
232,she,c
233,would,c
234,do,c
235,?,c
236,10,c
237,June,c
238,2000,c
239,Dear,c
240,Manager,c
241,",",c
242,I,c
243,would,c
244,like,c
245,to,c
246,complain,c
247,about,i
248,your,c
249,theatre,c
250,and,c
251,the,c
252,musical,c
253,show,c
254,that,c
255,I,c
256,saw,c
257,last,c
258,week,c
259,.,c
260,I,c
261,went,c
262,to,c
263,London,c
264,for,c
265,a,c
266,holiday,c
267,last,c
268,week,c
269,and,c
270,read,c
271,the,c
272,advertisement,c
273,about,c
274,',c
275,Over,c
276,the,c
277,rainbow,c
278,',c
279,in,c
280,the,c
281,hotel,c
282,which,c
283,I,c
284,stayed,c
285,.,c
286,I,c
287,saw,c
288,Danny,c
289,Brook,c
290,and,c
291,Tina,c
292,Truelove,c
293,were,i
294,written,c
295,on,c
296,the,c
297,advertisement,c
298,paper,c
299,and,c
300,was,i
301,very,c
302,excited,c
303,.,c
304,However,c
305,",",c
306,Danny,c
307,Brook,c
308,did,c
309,not,c
310,appear,c
311,on,c
312,the,c
313,stage,c
314,until,c
315,the,c
316,end,c
317,of,c
318,musical,c
319,showing,c
320,time,c
321,.,c
322,I,c
323,was,c
324,really,c
325,disappointed,c
326,about,c
327,it,c
328,.,c
329,Secondly,c
330,",",c
331,starting,c
332,time,c
333,was,c
334,19:30,c
335,but,c
336,it,c
337,started,c
338,20:15,c
339,so,c
340,I,c
341,was,c
342,waited,i
343,for,c
344,45,c
345,minutes,c
346,.,c
347,It,c
348,was,c
349,so,c
