prompt,completion
"13th June 2000 Dear Ms Helen Ryan Competition Organiser I have just recieved the letter , which lets me know that I have won the first prize .","13th	c
June	c
2000	c
Dear	c
Ms	c
Helen	c
Ryan	c
Competition	c
Organiser	c
I	c
have	c
just	c
recieved	i
the	c
letter	c
,	c
which	c
lets	c
me	c
know	c
that	c
I	c
have	c
won	c
the	c
first	c
prize	c
.	c
"
I am proud of winning it and would like to say how thankful I am .,"I	c
am	c
proud	c
of	c
winning	c
it	c
and	c
would	c
like	c
to	c
say	c
how	c
thankful	i
I	c
am	c
.	c
"
I am therefore writing to give you my further information .,"I	c
am	c
therefore	c
writing	c
to	c
give	c
you	c
my	c
further	c
information	c
.	c
"
"First of all , I am a student and would like to travel in July .","First	c
of	c
all	c
,	c
I	c
am	c
a	c
student	c
and	c
would	c
like	c
to	c
travel	c
in	c
July	c
.	c
"
Because I intend to take examination in Septenber .,"Because	i
I	c
intend	c
to	c
take	c
examination	i
in	c
Septenber	i
.	c
"
So I can afford to go on holiday only in July .,"So	c
I	c
can	c
afford	c
to	c
go	c
on	c
holiday	c
only	c
in	c
July	c
.	c
"
"Secondly , I would prefer to stay at log cabins rather than tents .","Secondly	c
,	c
I	c
would	c
prefer	c
to	c
stay	c
at	i
log	c
cabins	c
rather	c
than	c
tents	c
.	c
"
It will be my first time to experience to stay there and I am interested in trying new things which I have not tried .,"It	c
will	c
be	c
my	c
first	c
time	c
to	i
experience	i
to	i
stay	i
there	c
and	c
I	c
am	c
interested	c
in	c
trying	c
new	c
things	c
which	c
I	c
have	c
not	c
tried	c
.	c
"
The next consideration is the activities .,"The	c
next	c
consideration	c
is	c
the	c
activities	c
.	c
"
"Actually , I used to play basketball for 6 years and am quite confident of it .","Actually	c
,	c
I	c
used	c
to	c
play	c
basketball	c
for	c
6	c
years	c
and	c
am	c
quite	c
confident	c
of	i
it	c
.	c
"
"And nowadays , I have been practicing tennis as school activity .","And	c
nowadays	i
,	c
I	c
have	c
been	c
practicing	i
tennis	c
as	c
school	i
activity	c
.	c
"
Therefore I would like to choose basketball and tennis .,"Therefore	c
I	c
would	c
like	c
to	c
choose	c
basketball	c
and	c
tennis	c
.	c
"
"Finally , I am considering about what kind of clothes I should wear and how much I need .","Finally	c
,	c
I	c
am	c
considering	i
about	c
what	c
kind	c
of	c
clothes	c
I	c
should	c
wear	c
and	c
how	c
much	c
I	c
need	c
.	c
"
I would be most grateful if you could give me further advicable information .,"I	c
would	c
be	c
most	c
grateful	c
if	c
you	c
could	c
give	c
me	c
further	c
advicable	c
information	c
.	c
"
I look forward to hearing from you .,"I	c
look	c
forward	c
to	c
hearing	c
from	c
you	c
.	c
"
"Yours sincerely , Dear Kim , Hello !","Yours	c
sincerely	c
,	c
Dear	c
Kim	c
,	c
Hello	c
!	c
"
I hope everything around you is alright .,"I	c
hope	c
everything	c
around	c
you	c
is	c
alright	c
.	c
"
You might not believe but actually I helped at a pop concert last month and I really enjoyed it so much .,"You	c
might	c
not	c
believe	c
but	i
actually	c
I	c
helped	c
at	c
a	c
pop	c
concert	c
last	c
month	c
and	c
I	c
really	c
enjoyed	c
it	c
so	c
much	c
.	c
"
So I 'm now writing to let you know how grateful it was .,"So	c
I	c
'm	c
now	c
writing	c
to	c
let	c
you	c
know	c
how	c
grateful	i
it	c
was	c
.	c
"
All work I needed to do was n't very interesting .,"All	c
work	i
I	c
needed	c
to	c
do	c
was	c
n't	c
very	c
interesting	c
.	c
"
which I must have set thousands chairs correctly and after finishing I put them back nicely .,"which	c
I	c
must	c
have	c
set	c
thousands	c
chairs	i
correctly	c
and	c
after	c
finishing	c
I	c
put	c
them	c
back	c
nicely	c
.	c
"
The reason I enjoyed it very much is that I could meet the vocalist on setting chairs just before they started practicing .,"The	c
reason	c
I	c
enjoyed	c
it	c
very	c
much	c
is	c
that	c
I	c
could	c
meet	c
the	c
vocalist	c
on	i
setting	c
chairs	c
just	c
before	c
they	c
started	c
practicing	i
.	c
"
I was asked if I wanted to sit down in front of stage .,"I	c
was	c
asked	c
if	c
I	c
wanted	c
to	c
sit	c
down	c
in	c
front	c
of	c
stage	i
.	c
"
Naturally I agreed and I could enjoy their gig as audience .,"Naturally	c
I	c
agreed	c
and	c
I	c
could	c
enjoy	c
their	c
gig	c
as	c
audience	i
.	c
"
It was absolutely fantastic .,"It	c
was	c
absolutely	c
fantastic	c
.	c
"
I had ever never sit down there .,"I	c
had	c
ever	c
never	c
sit	i
down	c
there	c
.	c
"
"Additionally , you could n't believe , but the vocalist said \"" All the chairs you are sitting down were set from him , \"" pointing at me !","Additionally	c
,	c
you	c
could	i
n't	c
believe	c
,	i
but	c
the	c
vocalist	c
said	c
""\""""""	c
All	c
the	c
chairs	c
you	c
are	c
sitting	c
down	c
were	i
set	c
from	i
him	c
,	c
""\""""""	c
pointing	c
at	c
me	c
!	c
"
! Actually I was a bit ashamed but it will be my brilliant memory .,"!	c
Actually	c
I	c
was	c
a	c
bit	c
ashamed	c
but	c
it	c
will	c
be	c
my	c
brilliant	c
memory	c
.	c
"
Anyway it was so interesting time that I did n't even feel tired after that .,"Anyway	c
it	c
was	c
so	c
interesting	c
time	i
that	c
I	c
did	c
n't	c
even	c
feel	c
tired	c
after	c
that	c
.	c
"
"Finally , I suggest you should try as I did if you have any opportunity .","Finally	c
,	c
I	c
suggest	c
you	c
should	c
try	c
as	c
I	c
did	c
if	c
you	c
have	c
any	c
opportunity	c
.	c
"
You must like it .,"You	c
must	i
like	c
it	c
.	c
"
I 'm looking forward to seeing you soon .,"I	c
'm	c
looking	c
forward	c
to	c
seeing	c
you	c
soon	c
.	c
"
Can you send me the letter back writing what happend to you recently .,"Can	c
you	c
send	c
me	c
the	i
letter	c
back	c
writing	c
what	c
happend	i
to	c
you	c
recently	c
.	c
"
Bye !,"Bye	c
!	c
"
"Love , At the begining I would like to thank you .","Love	c
,	c
At	i
the	i
begining	i
I	c
would	c
like	c
to	c
thank	c
you	c
.	c
"
Now I am going to give you some further informations I would like to travel only in July because I am a student in High school and this is most important year of my life I am studying to university entrance exams and I have to study until the end of June and then by the end of June I will be having university entrance exam after that in July I am going to be alright .,"Now	c
I	c
am	c
going	c
to	c
give	c
you	c
some	c
further	c
informations	i
I	c
would	c
like	c
to	c
travel	c
only	c
in	c
July	c
because	c
I	c
am	c
a	c
student	c
in	c
High	i
school	c
and	c
this	c
is	c
most	i
important	c
year	c
of	c
my	c
life	c
I	c
am	c
studying	c
to	i
university	i
entrance	c
exams	c
and	c
I	c
have	c
to	c
study	c
until	c
the	c
end	c
of	c
June	c
and	c
then	c
by	i
the	c
end	c
of	c
June	c
I	c
will	c
be	i
having	i
university	i
entrance	c
exam	c
after	i
that	c
in	c
July	c
I	c
am	c
going	c
to	c
be	c
alright	c
.	c
"
I would prefer tents because I have never stay in tents before and I am wondering how it is going to be like And among these activities I am choosing basketball and swimming .,"I	c
would	c
prefer	c
tents	i
because	c
I	c
have	c
never	c
stay	i
in	c
tents	i
before	c
and	c
I	c
am	c
wondering	c
how	i
it	c
is	c
going	c
to	c
be	c
like	c
And	c
among	i
these	c
activities	c
I	c
am	i
choosing	i
basketball	c
and	c
swimming	c
.	c
"
"Basketball because I am very good at it , swimming because I like to swim very much but I 'm not a very good swimmer .","Basketball	c
because	c
I	c
am	c
very	c
good	c
at	c
it	c
,	c
swimming	c
because	c
I	c
like	c
to	c
swim	c
very	c
much	c
but	c
I	c
'm	c
not	c
a	c
very	c
good	c
swimmer	c
.	c
"
And finally I would like to ask you some questions .,"And	c
finally	c
I	c
would	c
like	c
to	c
ask	c
you	c
some	c
questions	c
.	c
