,Unnamed: 0,word,label_GPT3,label_ChatGPT_prompt,label_ChatGPT_chat,label_Ground_truth
0,0,10,c,c,c,c
1,1,June,c,c,c,c
2,2,2000,c,c,c,c
3,3,Dear,c,c,c,c
4,4,Manager,c,c,c,c
5,5,",",c,c,c,c
6,6,I,c,c,c,c
7,7,would,c,c,c,c
8,8,like,c,c,c,c
9,9,to,c,c,c,c
10,10,complain,c,c,c,c
11,11,about,i,c,c,c
12,12,your,c,c,c,c
13,13,theatre,c,c,c,c
14,14,and,c,c,c,c
15,15,the,c,c,c,c
16,16,musical,c,c,c,c
17,17,show,c,c,c,c
18,18,that,c,c,c,c
19,19,I,c,c,c,c
20,20,saw,c,c,c,c
21,21,last,c,c,c,c
22,22,week,c,c,c,c
23,23,.,c,c,c,c
24,24,I,c,c,c,c
25,25,went,c,c,c,c
26,26,to,c,c,c,c
27,27,London,c,c,c,c
28,28,for,c,c,c,c
29,29,a,c,c,c,c
30,30,holiday,c,c,c,c
31,31,last,c,c,c,c
32,32,week,c,c,c,c
33,33,and,c,c,c,c
34,34,read,c,c,c,c
35,35,the,c,c,c,c
36,36,advertisement,c,c,c,c
37,37,about,i,c,c,c
38,38,',c,c,c,c
39,39,Over,c,c,c,c
40,40,the,c,c,c,c
41,41,rainbow,c,c,c,c
42,42,',c,c,c,c
43,43,in,c,c,c,c
44,44,the,c,c,c,c
45,45,hotel,c,c,c,c
46,46,which,c,c,c,c
47,47,I,c,c,c,c
48,48,stayed,c,c,c,c
49,49,.,c,c,c,i
50,50,I,c,c,c,c
51,51,saw,c,c,c,c
52,52,Danny,c,c,c,c
53,53,Brook,c,c,c,c
54,54,and,c,c,c,c
55,55,Tina,c,c,c,c
56,56,Truelove,c,c,c,c
57,57,were,i,c,c,c
58,58,written,c,c,c,c
59,59,on,c,c,c,c
60,60,the,c,c,c,c
61,61,advertisement,c,c,c,c
62,62,paper,c,c,c,c
63,63,and,c,c,c,c
64,64,was,i,c,c,c
65,65,very,c,c,c,c
66,66,excited,c,c,c,c
67,67,.,c,c,c,c
68,68,However,c,c,c,c
69,69,",",c,c,c,c
70,70,Danny,c,c,c,c
71,71,Brook,c,c,c,c
72,72,did,c,c,c,c
73,73,not,c,c,c,c
74,74,appear,c,c,c,c
75,75,on,c,c,c,c
76,76,the,c,c,c,c
77,77,stage,c,c,c,c
78,78,until,c,c,c,c
79,79,the,c,c,c,c
80,80,end,c,c,c,c
81,81,of,c,c,c,c
82,82,musical,c,c,c,c
83,83,showing,i,c,c,c
84,84,time,c,c,c,c
85,85,.,c,c,c,c
86,86,I,c,c,c,c
87,87,was,c,c,c,c
88,88,really,c,c,c,c
89,89,disappointed,c,c,c,c
90,90,about,i,c,c,c
91,91,it,c,c,c,c
92,92,.,c,c,c,c
93,93,Secondly,c,c,c,c
94,94,",",c,c,c,c
95,95,starting,c,c,c,i
96,96,time,c,c,c,c
97,97,was,c,c,c,c
98,98,19:30,c,c,c,c
99,99,but,c,c,c,c
100,100,it,c,c,c,c
101,101,started,c,c,c,c
102,102,20:15,c,c,c,c
103,103,so,c,c,c,c
104,104,I,c,c,c,c
105,105,was,c,c,c,c
106,106,waited,i,i,i,i
107,107,for,c,c,c,c
108,108,45,c,c,c,c
109,109,minutes,c,c,c,c
110,110,.,c,c,c,c
111,111,It,c,c,c,c
112,112,was,c,c,c,c
113,113,so,c,c,c,i
114,114,long,c,c,c,c
115,115,time,c,c,c,c
116,116,to,c,c,c,c
117,117,wait,c,c,c,c
118,118,in,c,c,c,c
119,119,the,c,c,c,c
120,120,theatre,c,c,c,c
121,121,.,c,c,c,c
122,122,Thirdly,c,c,c,c
123,123,",",c,c,c,c
124,124,it,c,c,c,c
125,125,mentioned,c,c,c,c
126,126,about,i,c,c,c
127,127,discounts,c,c,c,c
128,128,.,c,c,c,c
129,129,Despite,c,c,c,c
130,130,of,i,c,c,c
131,131,the,c,c,c,c
132,132,fact,c,c,c,c
133,133,that,c,c,c,c
134,134,I,c,c,c,c
135,135,am,c,c,c,c
136,136,a,c,c,c,c
137,137,student,c,c,c,c
138,138,",",c,c,c,c
139,139,I,c,c,c,c
140,140,could,c,c,c,c
141,141,not,c,c,c,c
142,142,get,c,c,c,c
143,143,any,c,c,c,c
144,144,discounts,c,c,c,c
145,145,.,c,c,c,c
146,146,I,c,c,c,c
147,147,also,c,c,c,c
148,148,visited,c,c,c,c
149,149,your,c,c,c,c
150,150,restaurant,c,c,c,c
151,151,after,c,c,c,c
152,152,the,c,c,c,c
153,153,show,c,c,c,c
154,154,but,c,c,c,c
155,155,already,c,c,c,i
156,156,closed,c,c,c,c
157,157,because,c,c,c,c
158,158,the,c,c,c,c
159,159,show,c,c,c,c
160,160,finished,c,c,c,c
161,161,late,c,c,c,c
162,162,.,c,c,c,c
163,163,I,c,c,c,c
164,164,think,c,c,c,c
165,165,it,c,c,c,c
166,166,is,c,c,c,c
167,167,a,c,c,c,c
168,168,great,c,c,c,c
169,169,opportunity,c,c,c,c
170,170,because,c,c,c,c
171,171,it,c,c,c,c
172,172,is,c,c,c,c
173,173,based,c,c,c,c
174,174,on,c,c,c,c
175,175,fashion,c,c,c,c
176,176,.,c,c,c,c
177,177,We,c,c,c,c
178,178,like,c,c,c,c
179,179,to,c,c,c,c
180,180,keep,c,c,c,c
181,181,up,c,c,c,c
182,182,with,c,c,c,c
183,183,the,c,c,c,c
184,184,rage,c,c,c,i
185,185,but,c,c,c,c
186,186,I,c,c,c,c
187,187,think,c,c,c,c
188,188,it,c,c,c,c
189,189,will,c,c,c,c
190,190,help,c,c,c,c
191,191,those,c,c,c,c
192,192,who,c,c,c,c
193,193,want,c,c,c,c
194,194,to,c,c,c,c
195,195,become,c,c,c,c
196,196,a,c,c,c,c
197,197,fashion,c,c,c,c
198,198,designer,c,c,c,i
199,199,later,c,c,c,c
200,200,on,c,c,c,c
201,201,.,c,c,c,c
202,202,I,c,c,c,c
203,203,have,c,c,c,c
204,204,a,c,c,c,c
205,205,suggestion,c,c,c,c
206,206,on,c,c,c,c
207,207,how,c,c,c,c
208,208,the,c,c,c,c
209,209,programme,c,c,c,c
210,210,could,c,c,c,c
211,211,be,c,c,c,c
212,212,changed,c,c,c,c
213,213,.,c,c,c,c
214,214,The,c,c,c,c
215,215,shopping,c,c,c,c
216,216,time,c,c,c,c
217,217,could,c,c,c,c
218,218,be,c,c,c,c
219,219,after,c,c,c,c
220,220,the,c,c,c,c
221,221,show,c,c,c,c
222,222,and,c,c,c,c
223,223,the,c,c,c,c
224,224,free,c,c,c,c
225,225,time,c,c,c,c
226,226,exchanged,c,c,c,c
227,227,for,c,c,c,c
228,228,the,c,c,c,c
229,229,science,c,c,c,c
230,230,museum,c,c,c,c
231,231,.,c,c,c,c
232,232,If,c,c,c,c
233,233,we,c,c,c,c
234,234,go,c,c,c,c
235,235,to,c,c,c,c
236,236,the,c,c,c,c
237,237,show,c,c,c,c
238,238,",",c,c,c,c
239,239,we,c,c,c,c
240,240,can,c,c,c,c
241,241,do,c,c,c,c
242,242,without,c,c,c,c
243,243,the,c,c,c,c
244,244,free,c,c,c,c
245,245,time,c,c,c,c
246,246,.,c,c,c,c
247,247,Please,c,c,c,c
248,248,give,c,c,c,c
249,249,this,c,c,c,c
250,250,your,c,c,c,c
251,251,careful,c,c,c,c
252,252,consideration,c,c,c,c
253,253,..,c,c,c,c
254,254,Yours,c,c,c,c
255,255,sincerely,c,c,c,c
256,256,",",c,c,c,c
257,257,In,i,c,i,c
258,258,a,c,c,c,c
259,259,country,c,c,c,c
260,260,like,c,c,c,c
261,261,the,c,c,c,c
262,262,UK,c,c,c,c
263,263,",",c,c,c,c
264,264,we,c,c,c,c
265,265,are,c,c,c,c
266,266,all,c,c,c,c
267,267,bound,c,c,c,c
268,268,to,c,c,c,c
269,269,have,c,c,c,c
270,270,houses,c,c,c,c
271,271,.,c,c,c,c
272,272,We,c,c,c,c
273,273,either,c,c,c,c
274,274,own,c,c,c,c
275,275,it,c,c,c,c
276,276,",",c,c,c,c
277,277,or,c,c,c,c
278,278,we,c,c,c,c
279,279,simply,c,c,c,c
280,280,borrow,c,c,c,c
281,281,it,c,c,c,c
282,282,from,c,c,c,c
283,283,other,c,c,c,c
284,284,people,c,c,c,c
285,285,.,c,c,c,c
286,286,We,c,c,c,c
287,287,take,c,c,c,c
288,288,our,c,c,c,c
289,289,homes,c,c,c,c
290,290,for,c,c,c,c
291,291,granted,c,c,c,c
292,292,.,c,c,c,c
293,293,Think,c,c,c,c
294,294,about,c,c,c,c
295,295,the,c,c,c,c
296,296,people,c,c,c,c
297,297,in,c,c,c,c
298,298,the,c,c,c,c
299,299,poor,c,c,c,c
300,300,countries,c,c,c,c
301,301,!,c,c,c,c
302,302,They,c,c,c,c
303,303,struggle,c,c,c,c
304,304,to,c,c,c,c
305,305,survive,c,c,c,c
306,306,.,c,c,c,c
307,307,So,c,c,c,c
308,308,nobody,c,c,c,c
309,309,smokes,c,c,c,c
310,310,there,c,c,c,c
311,311,.,c,c,c,c
312,312,I,c,c,c,c
313,313,do,c,c,c,c
314,314,n't,c,c,c,c
315,315,smoke,c,c,c,c
316,316,",",c,c,c,c
317,317,so,c,c,c,c
318,318,I,c,c,c,c
319,319,do,c,c,c,c
320,320,n't,c,c,c,c
321,321,care,c,c,c,c
322,322,about,c,c,c,c
323,323,this,c,c,c,c
324,324,rule,c,c,c,c
325,325,.,c,c,c,c
326,326,But,c,c,c,c
327,327,some,c,c,c,c
328,328,of,c,c,c,c
329,329,my,c,c,c,c
330,330,friends,c,c,c,c
331,331,really,c,c,c,c
332,332,would,c,c,c,c
333,333,like,c,c,c,c
334,334,to,c,c,c,c
335,335,change,c,c,c,c
336,336,it,c,c,c,c
337,337,.,c,c,c,c
338,338,You,c,c,c,c
339,339,also,c,c,c,c
340,340,wanted,c,c,c,c
341,341,to,c,c,c,c
342,342,know,c,c,c,c
343,343,about,c,c,c,c
344,344,what,c,c,c,c
345,345,I,c,c,c,c
346,346,'m,c,c,c,c
347,347,allowed,c,c,c,c
