,word,label_GPT3,label_ChatGPT_prompt,label_ChatGPT_chat,label_Ground_truth
0,10,c,c,c,c
1,June,c,c,c,c
2,2000,c,c,c,c
3,Dear,c,c,c,c
4,Manager,c,c,c,c
5,",",c,c,c,c
6,I,c,c,c,c
7,would,c,c,c,c
8,like,c,c,c,c
9,to,c,c,c,c
10,complain,c,c,c,c
11,about,i,c,c,c
12,your,c,c,c,c
13,theatre,c,c,c,c
14,and,c,c,c,c
15,the,c,c,c,c
16,musical,c,c,c,c
17,show,c,c,c,c
18,that,c,c,c,c
19,I,c,c,c,c
20,saw,c,c,c,c
21,last,c,c,c,c
22,week,c,c,c,c
23,.,c,c,c,c
24,I,c,c,c,c
25,went,c,c,c,c
26,to,c,c,c,c
27,London,c,c,c,c
28,for,c,c,c,c
29,a,c,c,c,c
30,holiday,c,c,c,c
31,last,c,c,c,c
32,week,c,c,c,c
33,and,c,c,c,c
34,read,c,c,c,c
35,the,c,c,c,c
36,advertisement,c,c,c,c
37,about,i,c,c,c
38,',c,c,c,c
39,Over,c,c,c,c
40,the,c,c,c,c
41,rainbow,c,c,c,c
42,',c,c,c,c
43,in,c,c,c,c
44,the,c,c,c,c
45,hotel,c,c,c,c
46,which,c,c,c,c
47,I,c,c,c,c
48,stayed,c,c,c,c
49,.,c,c,c,i
50,I,c,c,c,c
51,saw,c,c,c,c
52,Danny,c,c,c,c
53,Brook,c,c,c,c
54,and,c,c,c,c
55,Tina,c,c,c,c
56,Truelove,c,c,c,c
57,were,i,c,c,c
58,written,c,c,c,c
59,on,c,c,c,c
60,the,c,c,c,c
61,advertisement,c,c,c,c
62,paper,c,c,c,c
63,and,c,c,c,c
64,was,i,c,c,c
65,very,c,c,c,c
66,excited,c,c,c,c
67,.,c,c,c,c
68,However,c,c,c,c
69,",",c,c,c,c
70,Danny,c,c,c,c
71,Brook,c,c,c,c
72,did,c,c,c,c
73,not,c,c,c,c
74,appear,c,c,c,c
75,on,c,c,c,c
76,the,c,c,c,c
77,stage,c,c,c,c
78,until,c,c,c,c
79,the,c,c,c,c
80,end,c,c,c,c
81,of,c,c,c,c
82,musical,c,c,c,c
83,showing,i,c,c,c
84,time,c,c,c,c
85,.,c,c,c,c
86,I,c,c,c,c
87,was,c,c,c,c
88,really,c,c,c,c
89,disappointed,c,c,c,c
90,about,i,c,c,c
91,it,c,c,c,c
92,.,c,c,c,c
93,Secondly,c,c,c,c
94,",",c,c,c,c
95,starting,c,c,c,i
96,time,c,c,c,c
97,was,c,c,c,c
98,19:30,c,c,c,c
99,but,c,c,c,c
100,it,c,c,c,c
101,started,c,c,c,c
102,20:15,c,c,c,c
103,so,c,c,c,c
104,I,c,c,c,c
105,was,c,c,c,c
106,waited,i,i,i,i
107,for,c,c,c,c
108,45,c,c,c,c
109,minutes,c,c,c,c
110,.,c,c,c,c
111,It,c,c,c,c
112,was,c,c,c,c
113,so,c,c,c,i
114,long,c,c,c,c
115,time,c,c,c,c
116,to,c,c,c,c
117,wait,c,c,c,c
118,in,c,c,c,c
119,the,c,c,c,c
120,theatre,c,c,c,c
121,.,c,c,c,c
122,Thirdly,c,c,c,c
123,",",c,c,c,c
124,it,c,c,c,c
125,mentioned,c,c,c,c
126,about,i,c,c,c
127,discounts,c,c,c,c
128,.,c,c,c,c
129,Despite,c,c,c,c
130,of,i,c,c,c
131,the,c,c,c,c
132,fact,c,c,c,c
133,that,c,c,c,c
134,I,c,c,c,c
135,am,c,c,c,c
136,a,c,c,c,c
137,student,c,c,c,c
138,",",c,c,c,c
139,I,c,c,c,c
140,could,c,c,c,c
141,not,c,c,c,c
142,get,c,c,c,c
143,any,c,c,c,c
144,discounts,c,c,c,c
145,.,c,c,c,c
146,I,c,c,c,c
147,also,c,c,c,c
148,visited,c,c,c,c
149,your,c,c,c,c
150,restaurant,c,c,c,c
151,after,c,c,c,c
152,the,c,c,c,c
153,show,c,c,c,c
154,but,c,c,c,c
155,already,c,c,c,i
156,closed,c,c,c,c
157,because,c,c,c,c
158,the,c,c,c,c
159,show,c,c,c,c
160,finished,c,c,c,c
161,late,c,c,c,c
162,.,,c,c,c
163,I,c,c,c,c
164,think,c,c,c,c
165,it,c,c,c,c
166,is,c,c,c,c
167,a,c,c,c,c
168,great,c,c,c,c
169,opportunity,c,c,c,c
170,because,c,c,c,c
171,it,c,c,c,c
172,is,c,c,c,c
173,based,c,c,c,c
174,on,c,c,c,c
175,fashion,c,c,c,c
176,.,c,c,c,c
177,We,c,c,c,c
178,like,c,c,c,c
179,to,c,c,c,c
180,keep,c,c,c,c
181,up,c,c,c,c
182,with,c,c,c,c
183,the,c,c,c,c
184,rage,c,c,c,i
185,but,c,c,c,c
186,I,c,c,c,c
187,think,c,c,c,c
188,it,c,c,c,c
189,will,c,c,c,c
190,help,c,c,c,c
191,those,c,c,c,c
192,who,c,c,c,c
193,want,c,c,c,c
194,to,c,c,c,c
195,become,c,c,c,c
196,a,c,c,c,c
197,fashion,c,c,c,c
198,designer,c,c,c,i
199,later,c,c,c,c
200,on,c,c,c,c
201,.,c,c,c,c
202,I,c,c,c,c
203,have,c,c,c,c
204,a,c,c,c,c
205,suggestion,c,c,c,c
206,on,c,c,c,c
207,how,c,c,c,c
208,the,c,c,c,c
209,programme,c,c,c,c
210,could,c,c,c,c
211,be,c,c,c,c
212,changed,c,c,c,c
213,.,c,c,c,c
214,The,c,c,c,c
215,shopping,c,c,c,c
216,time,c,c,c,c
217,could,c,c,c,c
218,be,c,c,c,c
219,after,c,c,c,c
220,the,c,c,c,c
221,show,c,c,c,c
222,and,c,c,c,c
223,the,c,c,c,c
224,free,c,c,c,c
225,time,c,c,c,c
226,exchanged,c,c,c,c
227,for,c,c,c,c
228,the,c,c,c,c
229,science,c,c,c,c
230,museum,c,c,c,c
231,.,c,c,c,c
232,If,c,c,c,c
233,we,c,c,c,c
234,go,c,c,c,c
235,to,c,c,c,c
236,the,c,c,c,c
237,show,c,c,c,c
238,",",c,c,c,c
239,we,c,c,c,c
240,can,c,c,c,c
241,do,c,c,c,c
242,without,c,c,c,c
243,the,c,c,c,c
244,free,c,c,c,c
245,time,c,c,c,c
246,.,c,c,c,c
247,Please,c,c,c,c
248,give,c,c,c,c
249,this,c,c,c,c
250,your,c,c,c,c
251,careful,c,c,c,c
252,consideration,c,c,c,c
253,..,c,c,c,c
254,Yours,c,c,c,c
255,sincerely,c,c,c,c
256,",",c,c,c,c
257,In,i,c,i,c
258,a,c,c,c,c
259,country,c,c,c,c
260,like,c,c,c,c
261,the,c,c,c,c
262,UK,c,c,c,c
263,",",c,c,c,c
264,we,c,c,c,c
265,are,c,c,c,c
266,all,c,c,c,c
267,bound,c,c,c,c
268,to,c,c,c,c
269,have,c,c,c,c
270,houses,c,c,c,c
271,.,c,c,c,c
272,We,c,c,c,c
273,either,c,c,c,c
274,own,c,c,c,c
275,it,c,c,c,c
276,",",c,c,c,c
277,or,c,c,c,c
278,we,c,c,c,c
279,simply,c,c,c,c
280,borrow,c,c,c,c
281,it,c,c,c,c
282,from,c,c,c,c
283,other,c,c,c,c
284,people,c,c,c,c
285,.,c,c,c,c
286,We,c,c,c,c
287,take,c,c,c,c
288,our,c,c,c,c
289,homes,c,c,c,c
290,for,c,c,c,c
291,granted,c,c,c,c
292,.,c,c,c,c
293,Think,c,c,c,c
294,about,c,c,c,c
295,the,c,c,c,c
296,people,c,c,c,c
297,in,c,c,c,c
298,the,c,c,c,c
299,poor,c,c,c,c
300,countries,c,c,c,c
301,!,c,c,c,c
302,They,c,c,c,c
303,struggle,c,c,c,c
304,to,c,c,c,c
305,survive,c,c,c,c
306,.,c,c,c,c
307,So,c,c,c,c
308,nobody,c,c,c,c
309,smokes,c,c,c,c
310,there,c,c,c,c
311,.,c,c,c,c
312,I,c,c,c,c
313,do,c,c,c,c
314,n't,c,c,c,c
315,smoke,c,c,c,c
316,",",c,c,c,c
317,so,c,c,c,c
318,I,c,c,c,c
319,do,c,c,c,c
320,n't,c,c,c,c
321,care,c,c,c,c
322,about,c,c,c,c
323,this,c,c,c,c
324,rule,c,c,c,c
325,.,c,c,c,c
326,But,c,c,c,c
327,some,c,c,c,c
328,of,c,c,c,c
329,my,c,c,c,c
330,friends,c,c,c,c
331,really,c,c,c,c
332,would,c,c,c,c
333,like,c,c,c,c
334,to,c,c,c,c
335,change,c,c,c,c
336,it,c,c,c,c
337,.,c,c,c,c
338,You,c,c,c,c
339,also,c,c,c,c
340,wanted,c,c,c,c
341,to,c,c,c,c
342,know,c,c,c,c
343,about,c,c,c,c
344,what,c,c,c,c
345,I,c,c,c,c
346,'m,c,c,c,c
347,allowed,c,c,c,c
348,or,c,c,c,c
349,not,c,c,c,c
350,allowed,c,c,c,c
351,to,c,c,c,c
352,do,c,c,c,c
353,at,c,c,c,c
354,home,c,c,c,c
355,.,c,c,c,c
356,Well,c,c,c,c
357,",",c,c,c,c
358,I,c,c,c,c
359,have,c,c,c,c
360,rather,c,c,c,c
361,modern,c,c,c,c
362,parents,c,c,c,c
363,",",c,c,c,c
364,so,c,c,c,c
365,they,c,c,c,c
366,do,c,c,c,c
367,n't,c,c,c,c
368,prohibit,i,c,c,i
369,me,c,c,c,c
370,to,c,c,c,i
371,go,c,c,c,i
372,to,c,c,c,c
373,the,c,c,c,c
374,discoes,i,i,i,i
375,or,c,c,c,c
376,somewhere,c,c,c,c
377,with,c,c,c,c
378,my,c,c,c,c
379,friends,c,c,c,c
380,.,c,c,c,c
381,The,c,c,c,c
382,only,c,c,c,c
383,rule,c,c,c,c
384,for,c,c,c,c
385,me,c,c,c,c
386,at,c,c,c,c
387,home,c,c,c,c
388,is,c,c,c,c
389,to,c,c,c,c
390,walk,c,c,c,c
391,out,c,c,c,c
392,with,c,c,c,c
393,my,c,c,c,c
394,dog,c,c,c,c
395,three,c,c,c,c
396,times,c,c,c,c
397,a,c,c,c,c
398,day,c,c,c,c
399,.,c,c,c,c
400,I,c,c,c,c
401,hope,c,c,c,c
402,it,c,c,c,c
403,was,c,c,c,c
404,interesting,c,c,c,c
405,for,c,c,c,c
406,you,c,c,c,c
407,to,c,c,c,c
408,know,c,c,c,c
409,about,c,c,c,c
410,the,c,c,c,c
411,rules,c,c,c,c
412,in,c,c,c,c
413,my,c,c,c,c
414,life,c,c,c,c
415,.,c,c,c,c
416,Look,c,c,c,i
417,forward,c,c,c,c
418,to,c,c,c,c
419,hearing,c,c,c,c
420,from,c,c,c,c
421,you,c,c,c,c
422,",",c,c,c,c
423,Dear,c,c,c,c
424,Sir,c,c,c,c
425,/,c,c,c,c
426,Madam,c,c,c,c
427,",",c,c,c,c
428,I,c,c,c,c
429,was,c,c,c,i
430,to,c,c,c,c
431,Circle,c,c,c,i
432,Theatre,c,c,c,c
433,to,c,c,c,c
434,watch,c,c,c,c
435,',c,c,c,i
436,Over,c,c,c,c
437,the,c,c,c,c
438,rainbow,c,c,c,c
439,',c,c,c,c
440,musical,c,c,c,c
441,show,c,c,c,c
442,",",c,c,c,c
443,recently,c,c,c,c
444,.,c,c,c,c
445,I,c,c,c,c
446,was,c,c,c,c
447,trully,i,i,i,i
448,dissapointed,i,c,i,i
449,by,c,c,c,c
450,it,c,c,c,c
451,.,c,c,c,c
452,My,c,c,c,c
453,expectations,c,c,c,c
454,were,c,c,c,c
455,high,c,c,c,c
456,after,c,c,c,c
457,I,c,c,c,c
458,'ve,c,i,c,i
459,read,c,c,c,c
460,your,c,c,c,c
461,leaflet,c,c,c,c
462,in,c,c,c,c
463,which,c,c,c,c
464,it,c,c,c,c
465,was,c,c,c,c
466,advertised,c,c,c,c
467,as,c,c,c,c
468,',c,c,c,c
469,London,c,c,c,c
470,'s,s,c,c,c
471,newest,c,c,c,c
472,and,c,c,c,c
473,best,c,c,c,c
474,musical,c,c,c,c
475,show,c,c,c,c
476,',c,c,c,c
477,.,c,c,c,c
478,Yours,c,c,c,c
479,sincerely,c,c,c,c
480,Cambridge,c,c,c,c
481,13.06.00,c,c,c,c
482,Dear,c,c,c,c
483,friend,c,c,c,c
484,Kim,c,c,c,c
485,Last,c,c,c,c
486,month,c,c,c,c
487,",",c,c,c,c
488,I,c,c,c,c
489,enjoyed,c,c,c,c
490,to,c,i,i,i
491,help,c,c,c,i
492,at,c,c,c,c
493,a,c,c,c,c
494,pop,c,c,c,c
495,concert,c,c,c,c
496,in,c,c,c,c
497,Portugal,c,c,c,c
498,.,c,c,c,c
499,Everything,c,c,c,c
500,were,i,i,i,i
501,new,c,c,c,c
502,for,c,c,c,c
503,me,c,c,c,c
504,.,c,c,c,c
